GallonsPer100Miles,GallonsPer100MilesTo1981,MPG,Cylinders,Displacement100ci,Horsepower100,Weight1000lb,Seconds0to60,Year,Year70To81,Origin,Origin.Eq.1,Origin.Eq.2,Origin.Eq.3,Name
5.6,5.6,18,8,3.07,1.3,3.504,12,70,1,1,1,0,0,chevrolet chevelle malibu
6.7,6.7,15,8,3.5,1.65,3.693,11.5,70,1,1,1,0,0,buick skylark 320
5.6,5.6,18,8,3.18,1.5,3.436,11,70,1,1,1,0,0,plymouth satellite
6.3,6.3,16,8,3.04,1.5,3.433,12,70,1,1,1,0,0,amc rebel sst
5.9,5.9,17,8,3.02,1.4,3.449,10.5,70,1,1,1,0,0,ford torino
6.7,6.7,15,8,4.29,1.98,4.341,10,70,1,1,1,0,0,ford galaxie 500
7.1,7.1,14,8,4.54,2.2,4.354,9,70,1,1,1,0,0,chevrolet impala
7.1,7.1,14,8,4.4,2.15,4.312,8.5,70,1,1,1,0,0,plymouth fury iii
7.1,7.1,14,8,4.55,2.25,4.425,10,70,1,1,1,0,0,pontiac catalina
6.7,6.7,15,8,3.9,1.9,3.85,8.5,70,1,1,1,0,0,amc ambassador dpl
6.7,6.7,15,8,3.83,1.7,3.563,10,70,1,1,1,0,0,dodge challenger se
7.1,7.1,14,8,3.4,1.6,3.609,8,70,1,1,1,0,0,plymouth 'cuda 340
6.7,6.7,15,8,4,1.5,3.761,9.5,70,1,1,1,0,0,chevrolet monte carlo
7.1,7.1,14,8,4.55,2.25,3.086,10,70,1,1,1,0,0,buick estate wagon (sw)
4.2,4.2,24,4,1.13,0.95,2.372,15,70,1,3,0,0,1,toyota corona mark ii
4.5,4.5,22,6,1.98,0.95,2.833,15.5,70,1,1,1,0,0,plymouth duster
5.6,5.6,18,6,1.99,0.97,2.774,15.5,70,1,1,1,0,0,amc hornet
4.8,4.8,21,6,2,0.85,2.587,16,70,1,1,1,0,0,ford maverick
3.7,3.7,27,4,0.97,0.88,2.13,14.5,70,1,3,0,0,1,datsun pl510
3.8,3.8,26,4,0.97,0.46,1.835,20.5,70,1,2,0,1,0,volkswagen 1131 deluxe sedan
4.0,4.0,25,4,1.1,0.87,2.672,17.5,70,1,2,0,1,0,peugeot 504
